survey_year,country,industry,company_size,num_employees,annual_revenue_usd_millions,ai_adoption_rate,ai_maturity_score,years_using_ai,ai_budget_percentage,productivity_change_percent,task_automation_rate,time_saved_per_week,jobs_displaced,jobs_created,reskilled_employees,revenue_growth_percent,cost_reduction_percent,employee_satisfaction_score,customer_satisfaction
2023,South Korea,Agriculture,Startup,25,38.84,46.84,0.344,5,13.83,5.19,16.32,5.91,1,2,2,1.23,6.09,6.46,6.01
2024,South Korea,Agriculture,Startup,25,38.84,56.45,0.595,3,15.29,17.17,10.2,5.71,1,2,2,9.51,2.46,6.02,5.43
2024,South Korea,Agriculture,Startup,25,38.84,55.44,0.434,3,12.34,16.22,39.02,9.22,2,1,3,10.86,6.27,6.27,6.8
2024,South Korea,Agriculture,Startup,25,38.84,50.83,0.425,6,13.06,13.36,19.4,6.9,1,1,1,-0.44,5.29,5.44,6.21
2024,South Korea,Agriculture,Startup,25,38.84,51.39,0.229,6,6.53,9.17,21.14,8.7,1,1,2,14.19,3.77,5.68,5.18
2025,South Korea,Agriculture,Startup,25,38.84,68.5,0.45,5,15.1,16.97,19.75,7.3,1,2,3,13.91,2.35,5.38,6.12
2025,South Korea,Agriculture,Startup,25,38.84,63.03,0.449,6,14.55,15.28,26.61,5.29,1,2,3,22.83,6.85,6.57,4.78
2025,South Korea,Agriculture,Startup,25,38.84,42.07,0.333,3,10.04,6.94,27.74,8.17,2,1,3,13.76,1.31,6.87,6.73
2025,South Korea,Agriculture,Startup,25,38.84,41.21,0.334,5,8.01,5.02,9.59,4.91,1,1,2,-2.96,8.36,4.34,5.35
2026,South Korea,Agriculture,Startup,25,38.84,22.34,0.165,5,4.03,0.0,15.24,9.65,1,1,1,1.69,1.74,4.33,3.99
2026,South Korea,Agriculture,Startup,25,38.84,53.73,0.433,5,12.58,7.78,12.93,8.48,1,1,0,5.02,6.35,6.66,2.97
2026,South Korea,Agriculture,Startup,25,38.84,52.21,0.457,3,12.17,10.41,26.66,9.01,2,1,2,10.07,0.0,5.76,6.03
2026,South Korea,Agriculture,Startup,25,38.84,33.96,0.343,4,12.0,6.09,18.29,4.68,1,1,2,-4.58,9.17,5.15,5.49
2023,Malaysia,Technology,Enterprise,10148,5722.0,39.14,0.318,7,13.03,18.95,19.41,10.02,493,461,377,5.94,7.9,5.96,5.54
2023,Malaysia,Technology,Enterprise,10148,5722.0,42.19,0.395,6,10.27,9.57,28.84,9.31,748,566,1286,8.43,6.86,6.59,5.25
2023,Malaysia,Technology,Enterprise,10148,5722.0,61.11,0.55,3,15.05,13.26,33.9,11.98,655,777,1270,-2.11,7.92,5.71,6.99
2023,Malaysia,Technology,Enterprise,10148,5722.0,52.02,0.498,3,11.62,16.21,27.24,4.56,785,713,953,7.21,9.34,5.09,5.98
2024,Malaysia,Technology,Enterprise,10148,5722.0,62.74,0.656,7,15.97,22.64,43.7,14.87,1010,641,1526,9.24,13.24,7.51,6.66
2024,Malaysia,Technology,Enterprise,10148,5722.0,49.7,0.604,5,13.33,17.62,17.92,7.64,446,493,1456,12.62,6.89,5.63,7.31
2024,Malaysia,Technology,Enterprise,10148,5722.0,45.1,0.53,6,17.06,14.34,32.15,10.77,856,434,1033,6.91,3.83,6.11,4.65
2024,Malaysia,Technology,Enterprise,10148,5722.0,35.8,0.355,7,8.03,8.29,20.41,3.44,569,505,682,-2.98,7.95,5.84,5.69
2025,Malaysia,Technology,Enterprise,10148,5722.0,40.01,0.496,4,14.99,9.08,10.34,5.65,187,486,1060,6.81,0.0,6.32,6.35
2025,Malaysia,Technology,Enterprise,10148,5722.0,67.97,0.659,6,17.6,12.61,27.59,9.22,733,726,1102,8.67,10.18,7.36,6.29
2025,Malaysia,Technology,Enterprise,10148,5722.0,55.3,0.59,4,16.91,19.55,35.4,13.27,761,766,1514,12.77,6.33,6.27,7.59
2025,Malaysia,Technology,Enterprise,10148,5722.0,34.64,0.335,8,13.35,0.56,10.45,3.65,321,456,709,3.72,0.0,5.41,4.33
2026,Malaysia,Technology,Enterprise,10148,5722.0,53.66,0.626,9,17.03,21.81,30.77,11.15,621,656,1208,3.87,5.33,5.74,7.03
2026,Malaysia,Technology,Enterprise,10148,5722.0,52.37,0.547,6,15.68,20.39,32.66,8.13,635,607,964,2.64,5.19,5.72,5.34
2026,Malaysia,Technology,Enterprise,10148,5722.0,39.89,0.506,7,16.45,18.15,15.34,7.47,389,414,435,8.09,5.16,6.2,5.48
2026,Malaysia,Technology,Enterprise,10148,5722.0,82.79,0.825,6,21.75,29.39,49.5,18.61,1110,919,1221,18.23,7.73,6.65,7.77
2023,Brazil,Finance,SME,897,263.35,33.29,0.342,6,6.36,9.48,19.01,7.61,39,34,43,11.7,4.66,5.58,5.14
2023,Brazil,Finance,SME,897,263.35,13.86,0.155,7,6.13,3.62,2.49,0.0,0,19,43,1.89,0.0,5.36,4.54
2023,Brazil,Finance,SME,897,263.35,54.09,0.531,6,12.99,18.78,28.73,8.8,71,63,50,10.93,11.27,5.77,7.04
2023,Brazil,Finance,SME,897,263.35,45.86,0.414,6,5.1,13.42,21.84,6.64,44,61,88,4.31,14.01,5.72,4.83
2024,Brazil,Finance,SME,897,263.35,36.56,0.249,7,9.26,7.24,7.3,0.92,0,45,58,0.28,0.0,5.2,4.84
2024,Brazil,Finance,SME,897,263.35,24.84,0.184,2,5.99,1.88,13.31,6.87,15,33,25,-5.0,1.9,5.2,4.68
2025,Brazil,Finance,SME,897,263.35,35.9,0.267,6,10.22,3.57,25.51,7.25,44,23,0,3.68,0.0,5.13,4.75
2025,Brazil,Finance,SME,897,263.35,34.92,0.25,4,6.37,3.16,18.05,6.59,32,37,53,4.68,2.13,5.52,4.21
2025,Brazil,Finance,SME,897,263.35,45.93,0.359,3,8.72,14.0,25.41,9.97,50,39,62,7.68,9.95,5.62,6.86
2025,Brazil,Finance,SME,897,263.35,49.89,0.341,7,10.44,7.68,31.57,10.84,51,65,70,2.68,7.19,5.3,5.41
2026,Brazil,Finance,SME,897,263.35,45.02,0.37,9,9.57,10.4,26.87,7.55,45,46,57,10.26,7.39,6.26,6.06
2026,Brazil,Finance,SME,897,263.35,52.35,0.517,5,13.0,20.09,34.03,13.92,62,60,74,10.12,8.02,6.12,6.01
2026,Brazil,Finance,SME,897,263.35,37.38,0.343,7,10.75,9.08,12.92,7.72,19,44,64,-3.13,0.43,5.0,5.35
2026,Brazil,Finance,SME,897,263.35,24.8,0.295,8,3.99,9.33,15.8,5.25,19,33,31,3.94,5.71,6.28,4.63
2023,Poland,Manufacturing,Enterprise,10719,2029.35,16.9,0.188,4,7.68,5.18,14.64,5.28,299,215,458,-5.0,0.02,6.26,5.64
2023,Poland,Manufacturing,Enterprise,10719,2029.35,12.68,0.224,5,5.62,4.35,9.59,1.68,300,203,555,-2.12,0.96,5.67,5.01
2023,Poland,Manufacturing,Enterprise,10719,2029.35,46.49,0.476,3,11.49,14.17,34.9,9.29,888,594,1248,14.69,9.56,5.27,6.48
2024,Poland,Manufacturing,Enterprise,10719,2029.35,22.91,0.135,2,2.84,4.24,1.76,1.49,105,392,518,-3.72,5.41,3.13,4.43
2024,Poland,Manufacturing,Enterprise,10719,2029.35,31.59,0.207,8,7.74,1.37,19.32,3.5,389,383,604,-3.34,3.13,2.9,5.39
2024,Poland,Manufacturing,Enterprise,10719,2029.35,34.52,0.426,8,11.07,12.46,30.91,9.56,558,596,554,1.15,6.9,6.27,5.34
2024,Poland,Manufacturing,Enterprise,10719,2029.35,28.54,0.359,5,10.24,8.24,24.64,6.77,467,299,926,-1.74,4.98,5.52,5.37
2025,Poland,Manufacturing,Enterprise,10719,2029.35,35.88,0.466,3,12.87,15.99,23.4,10.05,538,557,376,5.71,5.01,6.68,5.39
2025,Poland,Manufacturing,Enterprise,10719,2029.35,45.25,0.459,9,12.16,12.93,40.06,10.14,951,646,915,12.08,8.95,6.96,4.89
2025,Poland,Manufacturing,Enterprise,10719,2029.35,37.83,0.406,8,11.98,10.23,31.6,9.81,741,522,1012,-1.24,3.63,6.32,6.61
2025,Poland,Manufacturing,Enterprise,10719,2029.35,22.08,0.332,5,9.86,8.57,15.24,9.01,385,487,866,-4.4,3.4,5.17,5.96
2026,Poland,Manufacturing,Enterprise,10719,2029.35,28.69,0.223,3,7.39,7.96,19.23,6.73,356,327,730,-1.22,8.63,5.87,5.79
2026,Poland,Manufacturing,Enterprise,10719,2029.35,40.63,0.391,7,9.73,10.96,10.7,3.53,330,580,787,7.58,3.29,6.11,6.36
2026,Poland,Manufacturing,Enterprise,10719,2029.35,61.28,0.557,6,15.11,14.18,32.86,8.61,639,731,1296,5.03,11.87,4.79,5.44
2026,Poland,Manufacturing,Enterprise,10719,2029.35,46.21,0.478,8,13.72,21.7,19.78,8.45,444,672,744,8.19,5.0,5.96,6.49
2023,Indonesia,Healthcare,SME,688,474.7,29.14,0.326,2,12.45,9.25,19.15,4.44,25,19,12,9.85,1.88,5.38,5.62
2023,Indonesia,Healthcare,SME,688,474.7,36.17,0.298,7,10.32,13.63,17.8,4.46,21,31,17,6.38,4.93,6.14,5.27
2023,Indonesia,Healthcare,SME,688,474.7,47.13,0.412,6,10.81,9.76,17.79,5.05,28,37,37,2.99,0.88,6.01,5.58
2023,Indonesia,Healthcare,SME,688,474.7,33.07,0.262,7,12.66,3.88,12.9,5.28,15,37,50,8.3,4.46,5.1,4.59
2024,Indonesia,Healthcare,SME,688,474.7,26.1,0.28,3,8.8,4.39,6.94,3.6,14,24,0,-5.0,4.97,5.71,3.17
2024,Indonesia,Healthcare,SME,688,474.7,16.71,0.325,5,6.42,3.22,0.0,1.75,0,4,42,5.55,0.0,7.47,3.73
2024,Indonesia,Healthcare,SME,688,474.7,46.7,0.456,4,10.67,8.51,28.88,7.76,41,31,50,3.76,11.27,4.75,6.39
2025,Indonesia,Healthcare,SME,688,474.7,34.93,0.264,8,7.46,3.94,20.37,6.26,41,33,40,-3.36,8.7,5.74,5.18
2025,Indonesia,Healthcare,SME,688,474.7,29.76,0.193,3,6.85,1.12,6.86,5.48,11,24,28,7.0,0.0,3.81,5.5
2025,Indonesia,Healthcare,SME,688,474.7,25.65,0.297,4,9.14,3.11,7.67,1.98,14,18,54,1.99,1.16,6.26,5.11
2025,Indonesia,Healthcare,SME,688,474.7,23.63,0.302,8,9.15,7.43,11.18,5.85,11,25,49,5.42,1.37,4.81,5.16
2026,Indonesia,Healthcare,SME,688,474.7,39.71,0.354,4,8.93,6.24,14.71,6.5,17,32,39,3.54,0.64,6.37,5.41
2026,Indonesia,Healthcare,SME,688,474.7,38.52,0.416,3,8.04,11.52,15.05,3.62,26,36,45,-0.09,2.56,7.0,8.43
2026,Indonesia,Healthcare,SME,688,474.7,39.7,0.275,10,8.19,8.23,21.49,5.65,35,28,22,7.35,5.43,6.71,5.81
2023,Germany,Agriculture,SME,275,126.99,44.26,0.375,6,9.57,5.9,25.13,5.91,16,12,11,-0.73,4.45,6.27,5.1
2023,Germany,Agriculture,SME,275,126.99,47.07,0.518,3,12.94,18.56,34.69,10.9,15,18,18,7.1,12.33,5.08,7.26
2023,Germany,Agriculture,SME,275,126.99,34.65,0.293,6,8.89,6.56,18.67,4.47,10,12,5,12.06,5.81,4.46,3.83
2024,Germany,Agriculture,SME,275,126.99,23.95,0.238,7,8.64,1.25,10.57,4.4,7,8,0,2.95,0.42,4.99,4.47
2024,Germany,Agriculture,SME,275,126.99,40.79,0.36,7,8.63,11.94,22.92,6.07,11,14,15,6.98,8.14,5.56,4.96
2024,Germany,Agriculture,SME,275,126.99,43.15,0.284,6,8.07,5.97,29.13,8.54,15,12,9,-0.54,2.77,5.98,5.82
2024,Germany,Agriculture,SME,275,126.99,42.54,0.389,8,11.54,12.19,21.31,7.36,14,13,23,12.63,8.11,5.5,5.49
2025,Germany,Agriculture,SME,275,126.99,31.59,0.34,7,9.57,8.19,24.25,4.01,9,13,20,7.77,0.56,5.96,6.13
2025,Germany,Agriculture,SME,275,126.99,41.32,0.399,3,13.84,19.04,14.61,5.88,10,12,29,12.37,13.13,6.46,6.05
2025,Germany,Agriculture,SME,275,126.99,53.03,0.561,6,16.48,20.91,33.48,10.06,20,17,21,7.76,13.25,5.52,7.77
2025,Germany,Agriculture,SME,275,126.99,27.5,0.371,4,5.35,9.17,20.8,8.8,14,12,23,7.82,9.08,5.29,3.64
2026,Germany,Agriculture,SME,275,126.99,30.55,0.313,7,7.59,8.67,23.25,9.29,14,11,23,4.59,3.15,7.34,5.2
2026,Germany,Agriculture,SME,275,126.99,39.48,0.471,3,11.67,9.16,17.89,4.23,10,14,21,6.61,0.78,6.41,5.09
2026,Germany,Agriculture,SME,275,126.99,27.07,0.317,8,8.24,6.57,22.09,8.33,10,11,15,4.49,7.29,4.66,6.32
2026,Germany,Agriculture,SME,275,126.99,48.12,0.336,8,14.07,0.49,23.8,2.83,13,15,17,-5.0,5.33,5.78,4.09
2023,Brazil,Healthcare,Startup,82,28.94,19.68,0.128,5,6.41,9.17,0.0,3.09,1,1,3,4.67,0.22,6.39,3.96
2023,Brazil,Healthcare,Startup,82,28.94,22.91,0.28,3,5.8,4.25,7.46,4.76,1,2,3,6.5,0.0,4.82,4.71
2023,Brazil,Healthcare,Startup,82,28.94,24.01,0.304,7,8.0,0.0,5.67,3.94,1,2,3,2.72,0.0,5.81,4.94
2023,Brazil,Healthcare,Startup,82,28.94,12.44,0.372,4,7.29,7.4,5.51,3.01,2,0,5,5.05,6.28,4.97,4.5
2024,Brazil,Healthcare,Startup,82,28.94,15.63,0.14,5,5.21,0.0,1.28,0.98,0,1,3,-3.51,3.03,5.07,3.55
2024,Brazil,Healthcare,Startup,82,28.94,8.51,0.208,0,2.35,8.13,2.41,2.58,0,2,3,7.6,3.81,4.52,4.81
2024,Brazil,Healthcare,Startup,82,28.94,18.93,0.167,3,3.01,12.12,7.01,2.43,2,3,6,-1.36,4.36,4.36,6.08
2024,Brazil,Healthcare,Startup,82,28.94,16.79,0.119,7,0.98,2.23,9.72,3.65,3,0,2,2.76,1.87,5.06,4.61
2025,Brazil,Healthcare,Startup,82,28.94,13.81,0.107,8,2.26,1.0,15.48,2.95,4,2,5,5.94,4.86,5.49,6.37
2025,Brazil,Healthcare,Startup,82,28.94,3.31,0.017,0,0.0,0.0,5.57,4.89,1,0,3,8.41,0.52,5.11,1.72
2025,Brazil,Healthcare,Startup,82,28.94,24.02,0.157,9,7.4,0.79,12.05,3.86,2,3,4,-5.0,0.0,5.01,5.14
2025,Brazil,Healthcare,Startup,82,28.94,21.19,0.159,7,6.71,0.47,24.83,8.51,5,1,3,-5.0,7.85,4.31,4.97
2026,Brazil,Healthcare,Startup,82,28.94,23.07,0.171,3,3.45,3.4,7.07,2.21,0,2,4,-1.64,1.36,5.19,4.51
2026,Brazil,Healthcare,Startup,82,28.94,41.24,0.294,5,11.42,4.99,13.5,4.38,3,2,1,4.08,1.57,4.41,5.89
2026,Brazil,Healthcare,Startup,82,28.94,21.11,0.248,8,5.06,10.1,6.08,1.3,0,3,5,2.39,4.05,5.65,5.97
2023,Brazil,Consulting,Enterprise,12157,5424.03,20.67,0.313,5,6.47,7.11,12.33,2.47,292,292,756,6.01,0.03,5.05,4.6
2023,Brazil,Consulting,Enterprise,12157,5424.03,31.07,0.285,7,9.75,2.27,17.4,4.81,514,434,571,7.96,6.45,6.13,4.23
2023,Brazil,Consulting,Enterprise,12157,5424.03,54.52,0.454,4,9.95,12.75,32.49,9.6,738,799,1452,4.63,9.43,6.77,6.18
2023,Brazil,Consulting,Enterprise,12157,5424.03,51.52,0.514,2,13.45,12.3,30.58,11.96,861,908,1032,10.01,4.24,5.47,5.33
2024,Brazil,Consulting,Enterprise,12157,5424.03,30.53,0.205,7,3.2,5.15,21.51,6.53,384,250,516,-3.97,4.11,5.67,4.25
2024,Brazil,Consulting,Enterprise,12157,5424.03,16.48,0.308,5,7.49,4.6,8.57,3.87,133,245,301,14.69,1.5,4.83,5.32
2024,Brazil,Consulting,Enterprise,12157,5424.03,15.99,0.224,6,3.7,0.68,18.0,5.37,432,241,706,-1.32,8.12,4.74,3.84
2024,Brazil,Consulting,Enterprise,12157,5424.03,27.11,0.382,3,8.63,15.18,20.03,5.88,446,394,918,8.46,8.58,5.13,6.66
2025,Brazil,Consulting,Enterprise,12157,5424.03,24.29,0.352,8,9.0,8.7,20.76,8.16,464,516,692,0.67,1.15,4.16,6.99
2025,Brazil,Consulting,Enterprise,12157,5424.03,45.84,0.37,5,10.96,12.52,24.76,7.98,754,680,1154,9.08,6.5,5.7,5.06
2025,Brazil,Consulting,Enterprise,12157,5424.03,51.18,0.517,7,18.03,18.56,16.78,8.35,545,570,1259,11.71,3.29,6.42,5.29
2025,Brazil,Consulting,Enterprise,12157,5424.03,36.18,0.362,7,9.08,8.45,20.67,5.58,589,586,890,6.45,0.99,5.85,4.74
2026,Brazil,Consulting,Enterprise,12157,5424.03,25.62,0.327,8,9.24,7.03,19.58,5.97,480,483,1009,-4.39,2.21,6.71,5.27
2026,Brazil,Consulting,Enterprise,12157,5424.03,26.0,0.314,4,12.79,16.24,2.63,2.6,149,454,509,3.72,1.22,5.13,6.32
2026,Brazil,Consulting,Enterprise,12157,5424.03,47.19,0.499,8,10.86,15.27,31.01,8.92,869,691,1085,15.0,9.29,6.38,6.62
2023,Brazil,Agriculture,Startup,80,9.54,41.11,0.315,3,10.83,11.94,30.88,11.11,5,5,7,11.71,6.09,4.67,5.93
2023,Brazil,Agriculture,Startup,80,9.54,18.29,0.25,7,5.2,3.15,0.0,1.03,1,2,5,-0.94,0.0,5.81,4.4
2023,Brazil,Agriculture,Startup,80,9.54,37.47,0.338,4,8.67,3.88,29.82,10.24,5,2,5,2.34,5.15,4.44,4.88
2023,Brazil,Agriculture,Startup,80,9.54,8.81,0.039,0,0.41,0.0,0.25,1.1,0,1,3,-5.0,4.2,6.51,3.52
2024,Brazil,Agriculture,Startup,80,9.54,15.71,0.2,6,5.04,4.53,0.46,1.52,0,2,1,-2.25,0.0,3.27,5.78
2024,Brazil,Agriculture,Startup,80,9.54,31.41,0.282,3,5.31,6.69,17.41,5.81,2,3,6,7.62,3.82,5.85,5.59
2024,Brazil,Agriculture,Startup,80,9.54,47.34,0.408,5,7.11,2.34,19.78,5.56,2,4,9,-2.54,4.55,4.56,4.62
2024,Brazil,Agriculture,Startup,80,9.54,65.25,0.608,7,14.12,14.39,29.17,10.87,5,7,11,1.01,8.07,6.49,6.26
2025,Brazil,Agriculture,Startup,80,9.54,37.24,0.363,4,7.58,9.31,10.45,8.96,1,3,5,4.84,2.9,6.55,5.71
2025,Brazil,Agriculture,Startup,80,9.54,28.47,0.162,8,5.24,3.94,13.36,2.28,2,3,1,7.86,5.85,5.76,5.52
2025,Brazil,Agriculture,Startup,80,9.54,36.45,0.436,4,12.66,15.2,19.81,6.31,2,5,8,8.8,9.66,4.55,5.99
2025,Brazil,Agriculture,Startup,80,9.54,45.28,0.428,5,10.98,10.12,16.96,3.24,4,5,9,7.43,2.57,5.87,5.31
2026,Brazil,Agriculture,Startup,80,9.54,23.53,0.114,3,5.28,0.0,13.99,1.8,4,2,3,-1.85,3.21,4.38,4.34
2026,Brazil,Agriculture,Startup,80,9.54,20.4,0.2,4,3.35,1.28,4.96,4.91,0,1,1,-5.0,3.09,6.39,2.86
2026,Brazil,Agriculture,Startup,80,9.54,44.56,0.397,4,14.22,14.38,22.8,6.29,4,5,4,4.22,3.45,6.5,6.26
2026,Brazil,Agriculture,Startup,80,9.54,31.9,0.26,4,9.56,7.34,14.32,5.39,2,4,0,-5.0,6.23,4.83,6.22
2023,New Zealand,Manufacturing,SME,261,499.64,23.37,0.305,1,7.79,6.95,21.86,9.33,13,3,27,6.41,7.04,5.51,5.1
2023,New Zealand,Manufacturing,SME,261,499.64,41.23,0.439,1,10.66,13.05,35.69,7.31,19,17,15,9.43,10.66,4.53,5.15
2023,New Zealand,Manufacturing,SME,261,499.64,47.13,0.363,1,13.56,13.48,27.02,7.98,17,16,21,9.76,4.46,5.72,4.22
2023,New Zealand,Manufacturing,SME,261,499.64,23.56,0.298,1,9.02,2.76,8.17,0.0,8,10,19,10.06,1.71,5.04,4.92
2024,New Zealand,Manufacturing,SME,261,499.64,38.39,0.353,1,13.48,14.76,14.37,5.38,9,11,23,5.53,5.96,6.69,7.13
2024,New Zealand,Manufacturing,SME,261,499.64,37.5,0.284,1,8.06,12.48,27.38,9.11,13,12,18,10.53,6.39,5.43,4.52
2024,New Zealand,Manufacturing,SME,261,499.64,35.17,0.361,2,8.74,20.96,17.03,6.13,12,14,24,7.21,0.0,5.71,5.87
2024,New Zealand,Manufacturing,SME,261,499.64,22.89,0.225,1,7.19,12.0,12.62,3.47,10,5,14,2.82,6.15,4.69,6.17
2025,New Zealand,Manufacturing,SME,261,499.64,37.77,0.405,2,12.6,14.21,25.3,6.21,14,13,31,1.03,7.86,6.27,6.17
2025,New Zealand,Manufacturing,SME,261,499.64,41.31,0.372,1,8.01,11.25,28.2,9.11,16,15,18,-1.69,7.7,5.51,7.71
2025,New Zealand,Manufacturing,SME,261,499.64,39.77,0.455,2,9.66,7.58,15.6,8.24,9,14,19,7.05,3.21,5.99,5.17
2025,New Zealand,Manufacturing,SME,261,499.64,50.06,0.623,1,13.19,13.24,14.12,6.87,5,17,43,8.52,5.29,6.65,7.04
2026,New Zealand,Manufacturing,SME,261,499.64,48.35,0.481,1,13.89,14.37,19.9,7.39,11,15,22,2.11,5.59,5.5,5.4
2026,New Zealand,Manufacturing,SME,261,499.64,8.82,0.163,0,0.0,4.01,0.42,0.0,0,2,5,5.14,5.45,5.02,5.17
2026,New Zealand,Manufacturing,SME,261,499.64,48.36,0.447,2,11.06,14.47,25.07,7.89,17,15,3,3.77,6.09,5.54,6.32
2026,New Zealand,Manufacturing,SME,261,499.64,46.83,0.421,3,12.81,7.52,21.91,5.51,14,16,24,-2.11,1.86,4.79,5.4
2023,Spain,Technology,Startup,60,30.49,11.37,0.091,1,6.51,0.0,18.07,4.75,1,1,0,4.96,10.55,4.85,5.45
2023,Spain,Technology,Startup,60,30.49,46.99,0.443,3,17.61,7.82,17.14,4.04,3,4,2,10.4,7.29,5.49,5.6
2023,Spain,Technology,Startup,60,30.49,35.26,0.202,3,11.52,2.85,12.92,2.41,1,3,3,1.65,5.08,6.0,4.18
2024,Spain,Technology,Startup,60,30.49,33.43,0.234,2,6.96,9.81,14.7,3.6,2,2,2,2.07,2.17,4.3,3.97
2024,Spain,Technology,Startup,60,30.49,57.93,0.551,4,13.54,23.47,31.18,11.38,3,4,8,15.53,3.97,5.68,6.85
2024,Spain,Technology,Startup,60,30.49,55.04,0.517,1,9.02,13.5,21.83,7.5,2,4,6,16.09,1.43,5.25,6.49
2025,Spain,Technology,Startup,60,30.49,48.76,0.424,1,15.01,16.0,23.38,7.85,3,4,6,8.83,7.54,5.63,5.01
2025,Spain,Technology,Startup,60,30.49,39.4,0.469,4,11.69,13.41,23.4,9.05,4,2,5,5.74,11.05,5.26,5.34
2026,Spain,Technology,Startup,60,30.49,54.82,0.53,5,15.74,14.6,25.57,11.24,3,4,7,7.57,8.44,5.18,8.13
2026,Spain,Technology,Startup,60,30.49,50.4,0.347,3,12.04,6.64,30.35,10.69,4,4,0,2.01,1.83,6.49,5.9
2026,Spain,Technology,Startup,60,30.49,46.46,0.497,4,11.12,19.5,29.17,12.45,3,3,6,5.76,7.33,6.68,7.02
2026,Spain,Technology,Startup,60,30.49,62.3,0.503,3,13.56,12.5,25.74,5.8,3,5,7,1.69,9.03,5.96,5.09
2023,Chile,Healthcare,SME,541,488.79,27.99,0.313,3,9.85,15.75,8.72,3.34,16,13,38,5.9,0.68,5.52,6.93
2023,Chile,Healthcare,SME,541,488.79,32.09,0.362,7,12.35,7.9,12.95,7.94,22,19,52,8.78,0.0,3.44,6.02
2023,Chile,Healthcare,SME,541,488.79,42.0,0.239,4,5.88,2.39,19.5,4.47,35,24,41,1.89,3.37,5.87,5.36
2023,Chile,Healthcare,SME,541,488.79,49.25,0.397,6,12.58,10.59,25.68,7.3,41,31,39,10.7,2.69,6.52,4.47
2024,Chile,Healthcare,SME,541,488.79,35.42,0.365,2,12.13,0.0,12.79,2.41,11,16,39,3.49,5.85,5.89,4.07
2024,Chile,Healthcare,SME,541,488.79,24.41,0.195,4,7.0,0.0,13.5,1.97,23,17,28,9.98,3.22,4.64,4.98
2024,Chile,Healthcare,SME,541,488.79,55.79,0.54,8,13.57,17.3,24.58,9.98,31,52,49,-2.12,13.87,5.46,6.71
2024,Chile,Healthcare,SME,541,488.79,38.36,0.328,5,8.13,8.33,33.92,6.48,32,27,15,6.24,1.66,6.59,6.31
2025,Chile,Healthcare,SME,541,488.79,27.02,0.33,6,6.17,8.98,17.21,8.45,19,26,19,6.21,6.94,6.12,4.5
2025,Chile,Healthcare,SME,541,488.79,37.56,0.302,6,10.64,10.3,29.11,8.08,31,18,31,7.2,2.79,5.5,5.68
2025,Chile,Healthcare,SME,541,488.79,33.08,0.202,6,7.32,3.69,12.55,3.36,13,21,22,-5.0,7.5,5.33,5.3
2025,Chile,Healthcare,SME,541,488.79,24.74,0.407,4,9.24,9.47,14.17,3.46,16,23,28,1.14,3.41,5.59,5.03
2026,Chile,Healthcare,SME,541,488.79,29.0,0.31,3,4.74,2.98,2.22,2.18,8,16,43,1.73,0.0,4.55,3.85
2026,Chile,Healthcare,SME,541,488.79,38.27,0.357,3,14.61,14.85,12.27,5.12,16,26,35,6.98,0.91,6.56,5.39
2026,Chile,Healthcare,SME,541,488.79,43.62,0.48,8,10.78,19.07,20.11,5.77,28,28,54,4.0,7.87,4.79,7.25
2026,Chile,Healthcare,SME,541,488.79,48.13,0.391,3,10.57,12.74,27.68,8.51,29,28,53,1.26,4.65,6.47,7.71
2023,Italy,Finance,SME,619,197.71,36.01,0.492,4,10.42,19.43,19.03,4.2,22,30,41,11.95,1.89,6.2,6.81
2023,Italy,Finance,SME,619,197.71,40.29,0.361,3,10.55,7.13,15.93,3.18,31,28,34,-3.12,4.64,6.22,4.49
2023,Italy,Finance,SME,619,197.71,38.05,0.453,2,10.36,13.4,17.06,6.51,22,35,45,3.4,12.98,6.66,5.97
2023,Italy,Finance,SME,619,197.71,49.98,0.444,4,19.33,7.0,23.94,8.53,26,27,35,-2.49,9.64,6.33,3.72
2024,Italy,Finance,SME,619,197.71,50.49,0.412,3,13.44,13.68,21.84,7.99,24,38,38,10.7,9.39,5.15,6.34
2024,Italy,Finance,SME,619,197.71,36.2,0.38,3,13.21,3.34,16.66,5.69,10,27,21,6.18,9.94,6.77,3.99
2024,Italy,Finance,SME,619,197.71,50.47,0.405,7,10.29,11.54,23.77,7.01,30,45,28,9.96,9.06,6.63,5.33
2025,Italy,Finance,SME,619,197.71,45.1,0.519,3,13.53,6.2,14.3,3.44,23,32,56,-0.96,6.0,6.29,3.17
2025,Italy,Finance,SME,619,197.71,41.57,0.382,8,11.22,8.0,18.57,4.37,30,33,61,-3.68,1.72,3.55,4.4
2026,Italy,Finance,SME,619,197.71,35.51,0.302,5,6.28,10.02,24.15,6.41,38,27,13,1.2,11.14,5.32,6.35
2026,Italy,Finance,SME,619,197.71,35.27,0.294,9,6.4,9.54,14.02,4.38,9,23,41,9.91,3.74,5.07,6.04
2026,Italy,Finance,SME,619,197.71,32.02,0.324,5,9.12,0.5,9.91,2.93,13,25,3,-4.34,3.17,4.01,5.2
2026,Italy,Finance,SME,619,197.71,19.35,0.276,9,3.48,6.29,21.89,2.65,36,16,18,5.28,3.47,5.58,5.96
2023,China,Logistics,SME,569,321.53,54.26,0.536,3,13.59,17.7,26.67,7.36,29,39,51,15.96,0.0,5.38,5.49
